city,region,country,lat,lon,continent
Dadiangas,General Santos,Philippines,6.113,125.172,Asia
Ad Dahiriyah,Hamah,Syria,35.15,36.7167,Asia
Yuli,Bauchi,Nigeria,10.533,9.85,Africa
El Faiyum,Al Fayyum,Egypt,29.308,30.84,Africa
Lokoja,Kogi,Nigeria,7.8,6.733,Africa
Qaryatal Karkashiyah,Karbala',Iraq,32.625,44.0511,Asia
Zaragoza,Aragon,Spain,41.633,-0.883,Europe
Pontianak,West Kalimantan,Indonesia,-0.031,109.322,Asia
Rasht,Gilan,Iran,37.279,49.586,Asia
Cotonou,Littoral,Benin,6.35,2.433,Africa
Goteborg,Vastra Gotaland,Sweden,57.717,11.967,Europe
Acapulco,Guerrero,Mexico,16.863,-99.89,America
Bahar,Hamadan,Iran,34.907,48.441,Asia
Murcia,Murcia,Spain,37.983,-1.117,Europe
Denpasar,Bali,Indonesia,-8.65,115.217,Asia
Bulawayo,Matabeleland North,Zimbabwe,-20.15,28.583,Africa
Aracaju,Sergipe,Brazil,-10.917,-37.067,America
Rotterdam,South Holland,Netherlands,51.923,4.479,Europe
Villavicencio,Meta,Colombia,4.153,-73.635,America
Campo Grande,Mato Grosso do Sul,Brazil,-20.45,-54.617,America
Махачкала,Dagestan,Russia,42.975,47.502,Europe
Banjarmasin,South Kalimantan,Indonesia,-3.32,114.591,Asia
Kitwe,Central,Zambia,-12.817,28.2,Africa
Catia La Mar,Vargas,Venezuela,10.6,-67.033,America
Jalingo,Taraba,Nigeria,8.883,11.367,Africa
